PROPERTY TYPE,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_PRICE
Condo/Co-op,Mountain View,94040,939000,1.0,1.5,845.0,8.0,7.0,8.0,1111.0,937201.0,7355.0,939000.0,,
Single Family Residential,Mountain View,94043,1699000,3.0,2.0,1672.0,7.0,7.0,9.0,1016.0,1729064.0,12013.0,1699000.0,,
Condo/Co-op,Mountain View,94040,864400,2.0,1.0,960.0,8.0,8.0,9.0,900.0,863451.0,6669.0,864400.0,,
Condo/Co-op,Mountain View,94040,849888,2.0,2.0,1140.0,9.0,7.0,8.0,746.0,842447.0,6620.0,849888.0,875999.0,
Townhouse,Mountain View,94043,1235000,2.0,1.5,1274.0,6.0,7.0,8.0,969.0,1248652.0,9297.0,1235000.0,,
Single Family Residential,Mountain View,94040,1395000,2.0,1.0,979.0,7.0,7.0,9.0,1425.0,1543440.0,9864.0,1395000.0,,
Single Family Residential,Mountain View,94041,1998000,3.0,2.0,1482.0,6.0,7.0,8.0,1348.0,2027721.0,14127.0,1998000.0,,
Townhouse,Mountain View,94043,1660000,3.0,3.5,1553.0,7.0,7.0,9.0,1069.0,1695440.0,12186.0,1660000.0,,
Single Family Residential,Mountain View,94041,1499888,2.0,1.0,764.0,6.0,7.0,8.0,1963.0,1510013.0,10605.0,1499888.0,,
Single Family Residential,Mountain View,94041,1898880,3.0,1.0,1004.0,6.0,7.0,8.0,1891.0,1887463.0,13426.0,1898880.0,,
Multi-Family (2-4 Unit),Mountain View,94041,2399995,4.0,3.0,1604.0,8.0,7.0,9.0,1496.0,2387900.0,16969.0,2399995.0,2399000.0,
Townhouse,Mountain View,94043,1350000,2.0,1.5,1290.0,6.0,7.0,8.0,1047.0,1353803.0,10100.0,1350000.0,,998000.0
Condo/Co-op,Mountain View,94043,1398000,3.0,2.5,1308.0,9.0,7.0,8.0,1069.0,1386589.0,10285.0,1398000.0,,
Townhouse,Mountain View,94043,1798000,4.0,3.5,1748.0,7.0,7.0,9.0,1029.0,1823068.0,13113.0,1798000.0,,1450000.0
Single Family Residential,Mountain View,94041,4198000,5.0,3.0,2692.0,8.0,7.0,9.0,1559.0,4150948.0,29682.0,4198000.0,,2550000.0
Single Family Residential,Mountain View,94041,3780000,6.0,4.0,3107.0,3.0,7.0,9.0,1217.0,3862215.0,26847.0,3780000.0,3880000.0,
Single Family Residential,Mountain View,94040,4698000,5.0,4.0,3923.0,9.0,10.0,8.0,1198.0,4790411.0,33218.0,4698000.0,4800000.0,
Condo/Co-op,Mountain View,94040,798000,2.0,1.0,935.0,3.0,7.0,9.0,853.0,,6297.0,798000.0,,665000.0
Single Family Residential,Mountain View,94043,2599000,4.0,3.0,1621.0,7.0,7.0,9.0,1603.0,2577698.0,18377.0,2599000.0,,1675000.0
Single Family Residential,Mountain View,94043,3798000,5.0,4.5,3458.0,9.0,7.0,8.0,1098.0,3749813.0,26854.0,3798000.0,,3749000.0
Townhouse,Mountain View,94041,1749000,3.0,3.5,1670.0,6.0,7.0,8.0,1047.0,1748464.0,12740.0,1749000.0,,
Condo/Co-op,Mountain View,94043,645000,1.0,1.0,564.0,6.0,7.0,8.0,1144.0,640200.0,5088.0,645000.0,,
Townhouse,Mountain View,94043,1938000,4.0,3.0,1757.0,6.0,7.0,9.0,1103.0,1932183.0,14144.0,1938000.0,,
Mobile/Manufactured Home,Mountain View,94041,369900,2.0,2.0,1458.0,6.0,7.0,8.0,254.0,365673.0,2615.0,369900.0,,98900.0
Townhouse,Mountain View,94043,1748888,3.0,2.5,2009.0,6.0,7.0,8.0,871.0,1724205.0,12993.0,1748888.0,1850000.0,
Townhouse,Mountain View,94041,1675000,3.0,3.5,1637.0,6.0,7.0,8.0,1023.0,1673480.0,12216.0,1675000.0,1739000.0,
Condo/Co-op,Mountain View,94043,1198000,3.0,2.5,1405.0,7.0,7.0,9.0,853.0,1187585.0,9133.0,1198000.0,,
Multi-Family (5+ Unit),Mountain View,94040,9500000,27.0,23.0,15571.0,3.0,7.0,9.0,610.0,,67171.0,9500000.0,,
Condo/Co-op,Mountain View,94040,875000,2.0,2.0,1140.0,9.0,7.0,8.0,768.0,868483.0,6798.0,,,875000.0
Townhouse,Mountain View,94043,1955000,4.0,3.5,1715.0,6.0,7.0,9.0,1140.0,1950250.0,14116.0,1955000.0,,
Single Family Residential,Mountain View,94041,2199000,3.0,2.0,1157.0,6.0,7.0,8.0,1901.0,2258352.0,15548.0,2199000.0,2299000.0,
Single Family Residential,Mountain View,94041,2400000,3.0,2.0,1512.0,8.0,7.0,9.0,1587.0,2510794.0,16969.0,2400000.0,2100000.0,
Single Family Residential,Mountain View,94041,2145000,3.0,2.5,1647.0,6.0,7.0,8.0,1302.0,2163033.0,15426.0,2145000.0,2245000.0,
Condo/Co-op,Mountain View,94040,599999,2.0,2.0,1012.0,7.0,8.0,9.0,593.0,653653.0,4892.0,599999.0,789999.0,799999.0
Condo/Co-op,Mountain View,94040,639998,1.0,1.0,731.0,3.0,7.0,9.0,876.0,629802.0,5091.0,639998.0,,339000.0
Condo/Co-op,Mountain View,94043,1245000,2.0,2.5,1122.0,6.0,7.0,8.0,1110.0,1215716.0,9129.0,1245000.0,1270000.0,1279000.0
Single Family Residential,Mountain View,94040,4999000,6.0,5.5,3260.0,9.0,7.0,8.0,1533.0,4893761.0,35346.0,4999000.0,,
Townhouse,Mountain View,94040,1799000,4.0,3.0,1962.0,9.0,7.0,8.0,917.0,,13325.0,1799000.0,1888000.0,
Condo/Co-op,Mountain View,94040,825000,2.0,2.0,1140.0,9.0,7.0,8.0,724.0,815216.0,6445.0,825000.0,875000.0,
Townhouse,Mountain View,94043,2158000,5.0,3.0,2057.0,6.0,7.0,9.0,1049.0,2126095.0,15699.0,2158000.0,,
Single Family Residential,Mountain View,94041,2699000,4.0,4.0,2326.0,6.0,7.0,8.0,1160.0,2744009.0,19084.0,2699000.0,2898888.0,
Townhouse,Mountain View,94043,1248000,2.0,1.5,1174.0,7.0,7.0,8.0,1063.0,1209014.0,9268.0,1248000.0,1278000.0,
Condo/Co-op,Sunnyvale,94085,798888,2.0,2.0,1012.0,4.0,7.0,8.0,789.0,782293.0,6148.0,798888.0,825000.0,
Townhouse,Mountain View,94043,968000,2.0,1.5,968.0,6.0,7.0,9.0,1000.0,949124.0,7387.0,968000.0,978000.0,
Single Family Residential,Palo Alto,94306,2985000,4.0,2.0,1765.0,8.0,8.0,9.0,1724.0,3043243.0,,,998000.0,
Multi-Family (2-4 Unit),Mountain View,94040,2190000,5.0,3.0,2379.0,9.0,7.0,8.0,921.0,2107091.0,15485.0,2190000.0,2248000.0,2299900.0
Condo/Co-op,Mountain View,94040,698888,2.0,1.0,1082.0,3.0,7.0,9.0,646.0,686901.0,5682.0,698888.0,748888.0,775000.0
Other,Palo Alto,94303,10500000,,,,8.0,8.0,9.0,,,74242.0,10500000.0,,
Single Family Residential,Mountain View,94043,1950000,2.0,2.0,900.0,6.0,7.0,9.0,2167.0,,13788.0,1950000.0,2100000.0,1950000.0
Townhouse,Mountain View,94043,1845000,3.0,3.5,1692.0,6.0,7.0,9.0,1090.0,,13045.0,,,
Single Family Residential,Mountain View,94043,2488000,4.0,3.5,2110.0,7.0,7.0,9.0,1179.0,,17592.0,,,
Townhouse,Mountain View,94043,2368000,4.0,3.5,1991.0,6.0,7.0,9.0,1189.0,,16743.0,,,
Townhouse,Mountain View,94043,1979000,4.0,3.5,1715.0,6.0,7.0,9.0,1154.0,,13993.0,,,
Townhouse,Mountain View,94043,2188000,4.0,3.5,1850.0,7.0,7.0,9.0,1183.0,,15471.0,,,
Townhouse,Mountain View,94043,1748000,3.0,3.0,1471.0,6.0,7.0,9.0,1188.0,,12359.0,,,
Single Family Residential,Campbell,95008,2780000,4.0,2.0,2476.0,5.0,,6.0,1123.0,1823805.0,19656.0,2780000.0,,1398000.0
Multi-Family (2-4 Unit),San Jose,95130,1848000,8.0,5.0,2764.0,6.0,6.0,7.0,669.0,1876217.0,13067.0,1848000.0,,
Condo/Co-op,San Jose,95125,668000,2.0,1.0,865.0,5.0,,6.0,772.0,667920.0,5223.0,668000.0,,
Single Family Residential,Campbell,95008,1749000,4.0,2.0,1486.0,6.0,,8.0,1177.0,1752258.0,12367.0,1749000.0,,
Single Family Residential,Campbell,95008,1798000,4.0,2.0,1575.0,6.0,,6.0,1142.0,1810729.0,12713.0,1798000.0,,
Single Family Residential,Campbell,95008,1698000,3.0,2.0,1630.0,6.0,,8.0,1042.0,1718525.0,12006.0,1698000.0,,
Condo/Co-op,Campbell,95008,579900,1.0,1.0,668.0,7.0,7.0,8.0,868.0,579848.0,4580.0,579900.0,,
Townhouse,Campbell,95008,1775000,4.0,3.5,2159.0,6.0,,6.0,822.0,1775849.0,12812.0,1775000.0,,
Single Family Residential,San Jose,95130,2098000,4.0,2.5,2256.0,8.0,6.0,7.0,930.0,2186394.0,14919.0,2098000.0,,1399000.0
Single Family Residential,Campbell,95008,1299950,3.0,1.0,1005.0,7.0,7.0,8.0,1293.0,1305577.0,9191.0,1299950.0,,
Single Family Residential,Campbell,95008,1249000,3.0,2.5,1318.0,7.0,7.0,8.0,948.0,,9041.0,1249000.0,,
Single Family Residential,Campbell,95008,2378000,3.0,3.0,1805.0,7.0,7.0,8.0,1317.0,2375997.0,16814.0,2378000.0,,
Townhouse,Campbell,95008,1290000,3.0,2.5,1759.0,6.0,,8.0,733.0,1333356.0,9651.0,1290000.0,,
Single Family Residential,Campbell,95008,2399000,4.0,2.5,2194.0,7.0,7.0,8.0,1093.0,2412975.0,16962.0,2399000.0,,
Single Family Residential,Campbell,95008,1838888,4.0,2.0,1782.0,8.0,6.0,8.0,1032.0,1949982.0,13002.0,1838888.0,,599999.0
Multi-Family (5+ Unit),Campbell,95008,3799000,18.0,12.0,6900.0,9.0,,8.0,551.0,,26861.0,3799000.0,,
Single Family Residential,Campbell,95008,1949000,4.0,2.5,1784.0,6.0,6.0,8.0,1092.0,2016597.0,13781.0,1949000.0,,
Condo/Co-op,Campbell,95008,695000,2.0,2.0,841.0,7.0,7.0,8.0,826.0,709211.0,5394.0,695000.0,,
Single Family Residential,Campbell,95008,1499000,3.0,2.0,1261.0,6.0,,8.0,1189.0,1662614.0,10599.0,1499000.0,,
Condo/Co-op,Campbell,95008,575000,1.0,1.0,742.0,7.0,7.0,8.0,775.0,576693.0,4465.0,575000.0,,
Single Family Residential,Campbell,95008,1745000,4.0,2.5,1710.0,7.0,7.0,8.0,1020.0,1757106.0,12338.0,1745000.0,,
Single Family Residential,Campbell,95008,1998000,4.0,2.0,2036.0,6.0,,8.0,981.0,2041715.0,14127.0,1998000.0,,
Single Family Residential,Campbell,95008,1999980,4.0,2.0,1643.0,4.0,,8.0,1217.0,2005666.0,14141.0,1999980.0,,699000.0
Single Family Residential,Campbell,95008,3198000,4.0,3.5,2738.0,6.0,,8.0,1168.0,3217320.0,22612.0,3198000.0,,
Single Family Residential,Campbell,95008,1588000,3.0,2.5,1728.0,9.0,,8.0,919.0,1587030.0,11228.0,1588000.0,,
Condo/Co-op,Los Gatos,95032,648000,2.0,1.0,934.0,9.0,,8.0,694.0,645526.0,5056.0,648000.0,,
Multi-Family (2-4 Unit),Campbell,95008,2050000,8.0,5.0,3747.0,6.0,,8.0,547.0,1980262.0,14495.0,2050000.0,2150000.0,
Townhouse,Campbell,95008,1300000,3.0,2.5,2065.0,6.0,,8.0,630.0,1289916.0,9552.0,,339900.0,
Single Family Residential,Campbell,95008,1998000,3.0,3.0,1750.0,7.0,7.0,8.0,1142.0,1967861.0,14127.0,1998000.0,,585000.0
Condo/Co-op,Campbell,95008,665000,1.0,1.0,778.0,7.0,7.0,8.0,855.0,663771.0,5101.0,665000.0,,599000.0
Townhouse,Campbell,95008,1075000,2.0,3.0,1727.0,7.0,7.0,8.0,622.0,1075741.0,8118.0,1075000.0,1125000.0,1150000.0
Single Family Residential,Los Gatos,95032,2200000,4.0,2.5,2130.0,7.0,7.0,8.0,1033.0,,15693.0,,2200000.0,
Single Family Residential,Campbell,95008,2650000,4.0,4.0,2762.0,6.0,,6.0,959.0,2598676.0,18737.0,2650000.0,2650000.0,
Condo/Co-op,Campbell,95008,1350000,3.0,2.5,1665.0,6.0,,8.0,811.0,1337538.0,10171.0,1350000.0,,468000.0
Single Family Residential,Campbell,95008,1695000,4.0,3.0,1727.0,7.0,7.0,8.0,981.0,1738690.0,11985.0,1695000.0,1795000.0,
Condo/Co-op,Campbell,95008,745000,2.0,1.0,840.0,4.0,,8.0,887.0,734483.0,5668.0,745000.0,,
Single Family Residential,Campbell,95008,2350000,5.0,5.0,2922.0,5.0,,6.0,804.0,2453259.0,16616.0,2350000.0,2499000.0,
Mobile/Manufactured Home,San Jose,95128,319497,2.0,2.0,1296.0,6.0,,6.0,247.0,312846.0,2259.0,319497.0,330000.0,335000.0
Single Family Residential,Campbell,95008,3980000,5.0,3.5,3994.0,6.0,,8.0,996.0,2715256.0,28141.0,3980000.0,2190000.0,
Single Family Residential,Campbell,95008,1539000,3.0,2.0,1528.0,6.0,6.0,7.0,1007.0,1543734.0,10882.0,1539000.0,1549000.0,1599000.0
Single Family Residential,Campbell,95008,1999999,3.0,2.0,2128.0,5.0,,6.0,940.0,1922420.0,14141.0,,,
Single Family Residential,Campbell,95008,3140800,5.0,4.0,2848.0,6.0,,8.0,1103.0,3057110.0,22207.0,3140800.0,3090800.0,
Single Family Residential,Campbell,95008,3130000,5.0,4.0,2848.0,6.0,,8.0,1099.0,2635192.0,22131.0,3130000.0,1740000.0,1690000.0
Single Family Residential,Campbell,95008,2930000,4.0,3.0,2682.0,9.0,,8.0,1092.0,2691262.0,20717.0,2930000.0,1540000.0,1490000.0
Single Family Residential,Campbell,95008,3985000,5.0,5.5,3427.0,6.0,,8.0,1163.0,3859639.0,28176.0,3985000.0,3985000.0,4250000.0
Single Family Residential,San Jose,95130,1850888,3.0,3.0,1620.0,8.0,6.0,8.0,1143.0,1837559.0,13087.0,1850888.0,1777777.0,
Condo/Co-op,Sunnyvale,94087,1200000,3.0,2.5,1280.0,9.0,8.0,6.0,938.0,,9092.0,1200000.0,,
Condo/Co-op,Cupertino,95014,1625000,2.0,2.5,1435.0,9.0,9.0,10.0,1132.0,,11930.0,1625000.0,1780915.0,
Townhouse,Cupertino,95014,1168000,2.0,2.5,1326.0,9.0,9.0,9.0,881.0,1187387.0,8948.0,1168000.0,,
Single Family Residential,Cupertino,95014,2998000,5.0,3.0,2064.0,9.0,8.0,9.0,1453.0,3036349.0,21198.0,2998000.0,,
Single Family Residential,Cupertino,95014,2999000,4.0,2.5,2356.0,9.0,9.0,10.0,1273.0,2982910.0,21205.0,2999000.0,,
Townhouse,Cupertino,95014,1888000,4.0,2.5,1852.0,9.0,9.0,10.0,1019.0,1895398.0,13809.0,1888000.0,,
Single Family Residential,Sunnyvale,94087,3075000,4.0,2.5,2100.0,9.0,8.0,6.0,1464.0,3056652.0,21742.0,3075000.0,,612500.0
Single Family Residential,Cupertino,95014,1998000,3.0,2.0,1201.0,9.0,9.0,9.0,1664.0,2061975.0,14127.0,1998000.0,,
Single Family Residential,Cupertino,95014,4850000,5.0,4.5,3779.0,9.0,8.0,9.0,1283.0,4823059.0,34293.0,4850000.0,2500000.0,
Single Family Residential,Sunnyvale,94087,2098000,3.0,2.0,1525.0,9.0,8.0,6.0,1376.0,2148510.0,14834.0,2098000.0,,
Single Family Residential,Cupertino,95014,3680000,4.0,4.0,2783.0,9.0,9.0,10.0,1322.0,3830141.0,26406.0,3680000.0,,
Single Family Residential,Cupertino,95014,3788000,3.0,2.0,1632.0,9.0,9.0,10.0,2321.0,,26784.0,3788000.0,3788000.0,
Single Family Residential,Cupertino,95014,2888000,3.0,3.0,1932.0,9.0,9.0,10.0,1495.0,3186310.0,20723.0,2888000.0,,
Townhouse,Cupertino,95014,1198888,2.0,2.5,1326.0,9.0,9.0,9.0,904.0,1300090.0,9167.0,1198888.0,1200000.0,
Condo/Co-op,Cupertino,95014,1199000,2.0,2.0,1249.0,9.0,8.0,8.0,960.0,1196903.0,9244.0,1199000.0,,
Condo/Co-op,Cupertino,95014,999888,2.0,2.0,1154.0,9.0,9.0,9.0,866.0,,7633.0,999888.0,,599950.0
Townhouse,Cupertino,95014,1499990,3.0,2.0,1487.0,9.0,8.0,6.0,1009.0,1517159.0,11076.0,1499990.0,,1249000.0
Single Family Residential,Sunnyvale,94087,1950000,4.0,3.0,1907.0,8.0,6.0,8.0,1023.0,,13788.0,1950000.0,,
Single Family Residential,Cupertino,95014,3998000,4.0,3.5,3743.0,9.0,9.0,10.0,1068.0,4090818.0,28268.0,3998000.0,3988000.0,4188000.0
Vacant Land,Cupertino,95014,1750000,,,,9.0,9.0,10.0,,1733383.0,12374.0,1750000.0,,
Single Family Residential,Cupertino,95014,5200000,5.0,4.5,3721.0,,,,1397.0,,36767.0,5200000.0,,
Single Family Residential,Cupertino,95014,4800000,5.0,4.5,3849.0,,,,1247.0,,33939.0,4800000.0,,
Single Family Residential,Cupertino,95014,4700000,5.0,4.5,3727.0,9.0,9.0,10.0,1261.0,4766618.0,33232.0,4700000.0,,6800000.0
Single Family Residential,Cupertino,95014,3299000,5.0,3.0,3100.0,9.0,9.0,10.0,1064.0,3285804.0,23326.0,,,
Single Family Residential,Cupertino,95014,2098000,3.0,2.0,1211.0,9.0,9.0,10.0,1732.0,2116314.0,14834.0,,,
Single Family Residential,Cupertino,95014,4915000,5.0,5.5,3813.0,9.0,9.0,10.0,1289.0,4755487.0,34752.0,4915000.0,,2288000.0
Condo/Co-op,Cupertino,95014,1988960,3.0,3.0,1596.0,,,,1246.0,1977236.0,14503.0,1988960.0,,
Single Family Residential,Cupertino,95014,3798000,6.0,5.0,2665.0,9.0,8.0,9.0,1425.0,,26854.0,3798000.0,3900000.0,3698000.0
Single Family Residential,Cupertino,95014,3700000,3.0,2.0,2604.0,9.0,9.0,10.0,1421.0,,26161.0,3700000.0,3800000.0,
Single Family Residential,Cupertino,95014,4090000,6.0,6.0,3083.0,9.0,9.0,10.0,1327.0,,28919.0,4090000.0,3890000.0,
Single Family Residential,Cupertino,95014,2500000,4.0,4.0,1192.0,9.0,9.0,10.0,2097.0,2512501.0,17677.0,2500000.0,2988000.0,3200000.0
Other,Cupertino,95014,1999888,0.0,,1.0,9.0,9.0,10.0,1999888.0,,14140.0,1999888.0,1999888.0,
Other,Cupertino,95014,7900000,,,,9.0,9.0,10.0,,,55858.0,7900000.0,,
Single Family Residential,Cupertino,95014,5500000,8.0,8.0,4550.0,9.0,9.0,10.0,1209.0,5083201.0,38888.0,5500000.0,5500000.0,
Single Family Residential,Cupertino,95014,499000,2.0,1.0,850.0,9.0,9.0,10.0,587.0,524645.0,3528.0,499000.0,,
Vacant Land,Cupertino,95014,6000000,,,,9.0,9.0,10.0,,5961982.0,42424.0,6000000.0,8088000.0,
Single Family Residential,Concord,94520,718000,3.0,2.0,1360.0,2.0,3.0,2.0,528.0,728495.0,5077.0,718000.0,,
Single Family Residential,Concord,94518,569000,2.0,1.0,786.0,5.0,3.0,2.0,724.0,600705.0,4023.0,569000.0,600000.0,
Single Family Residential,Concord,94521,1139000,4.0,2.5,2135.0,7.0,5.0,7.0,533.0,1130550.0,8155.0,1139000.0,1150000.0,
Single Family Residential,Concord,94521,799888,3.0,2.0,1235.0,7.0,5.0,7.0,648.0,802190.0,5656.0,799888.0,,275000.0
Condo/Co-op,Concord,94521,408888,2.0,1.0,744.0,6.0,5.0,7.0,550.0,408880.0,3270.0,408888.0,,249000.0
Single Family Residential,Concord,94519,738000,3.0,2.0,1482.0,8.0,3.0,5.0,498.0,760419.0,5218.0,738000.0,,679900.0
Townhouse,Concord,94521,598800,3.0,2.5,1408.0,5.0,3.0,5.0,425.0,610097.0,4819.0,598800.0,,365000.0
Condo/Co-op,Concord,94518,379900,2.0,1.5,877.0,2.0,2.0,3.0,447.0,389983.0,,,,
Mobile/Manufactured Home,Concord,94518,215000,3.0,2.0,840.0,4.0,2.0,3.0,256.0,214667.0,1520.0,,,
Single Family Residential,Concord,94519,585000,4.0,2.0,1258.0,4.0,3.0,2.0,465.0,631053.0,4167.0,585000.0,,
Single Family Residential,Concord,94521,1285000,5.0,3.5,3186.0,7.0,6.0,7.0,403.0,1345777.0,9086.0,1285000.0,,699900.0
Single Family Residential,Concord,94521,700000,3.0,2.0,1571.0,5.0,3.0,5.0,446.0,724560.0,4949.0,700000.0,,
Single Family Residential,Concord,94521,799000,5.0,3.0,1789.0,6.0,5.0,7.0,447.0,802210.0,5649.0,799000.0,,185000.0
Condo/Co-op,Concord,94520,288000,1.0,1.0,560.0,2.0,6.0,2.0,514.0,288410.0,2384.0,,99950.0,
Townhouse,Concord,94521,515000,2.0,1.5,1122.0,5.0,3.0,5.0,459.0,515737.0,4021.0,515000.0,,360000.0
Single Family Residential,Concord,94520,725000,3.0,2.0,1229.0,2.0,3.0,2.0,590.0,735056.0,5191.0,725000.0,,
Condo/Co-op,Concord,94518,330000,1.0,1.0,730.0,4.0,2.0,3.0,452.0,331153.0,2843.0,330000.0,,
Single Family Residential,Clayton,94517,959000,4.0,3.0,1739.0,7.0,6.0,7.0,551.0,961247.0,6919.0,959000.0,,394900.0
Townhouse,Concord,94521,599500,2.0,2.0,1272.0,6.0,6.0,7.0,471.0,601742.0,4839.0,599500.0,,375000.0
Condo/Co-op,Concord,94518,369990,1.0,1.0,671.0,3.0,2.0,3.0,551.0,370908.0,3076.0,369990.0,,240000.0
Single Family Residential,Concord,94520,849000,3.0,2.0,1836.0,2.0,3.0,2.0,462.0,849823.0,6003.0,,,849000.0
Townhouse,Concord,94521,629000,3.0,2.5,1438.0,6.0,5.0,7.0,437.0,634690.0,4847.0,629000.0,,
Single Family Residential,Concord,94519,699900,3.0,2.0,1221.0,3.0,3.0,2.0,573.0,735656.0,4980.0,699900.0,,
Townhouse,Concord,94520,385000,2.0,1.0,884.0,2.0,3.0,2.0,436.0,386573.0,3121.0,385000.0,,
Single Family Residential,Concord,94521,635000,3.0,2.0,1428.0,6.0,5.0,7.0,445.0,706098.0,4490.0,,635000.0,
Single Family Residential,Concord,94520,565000,3.0,1.0,1024.0,2.0,2.0,2.0,552.0,574300.0,3995.0,565000.0,,
Condo/Co-op,Concord,94521,439000,2.0,1.0,904.0,6.0,5.0,7.0,486.0,441737.0,3572.0,439000.0,,399000.0
Single Family Residential,Concord,94521,1100000,4.0,2.0,1805.0,7.0,8.0,9.0,609.0,1114524.0,7885.0,1100000.0,,425000.0
Townhouse,Concord,94519,430000,2.0,1.5,979.0,8.0,3.0,5.0,439.0,436776.0,3320.0,430000.0,,104500.0
Single Family Residential,Concord,94520,800000,2.0,1.0,1136.0,3.0,2.0,3.0,704.0,,5656.0,800000.0,,
Single Family Residential,Concord,94521,999999,4.0,2.5,2307.0,5.0,3.0,5.0,433.0,1017344.0,7103.0,999999.0,1075000.0,
Single Family Residential,Concord,94518,1350000,4.0,3.0,3187.0,5.0,3.0,5.0,424.0,1350047.0,9545.0,1350000.0,,899000.0
Multi-Family (5+ Unit),Concord,94520,9750000,0.0,,24958.0,2.0,2.0,2.0,391.0,,68939.0,9750000.0,,
Townhouse,Concord,94520,449900,2.0,1.5,1090.0,2.0,3.0,2.0,413.0,451560.0,3581.0,449900.0,,169900.0
Condo/Co-op,Concord,94521,340000,1.0,1.0,794.0,6.0,6.0,7.0,428.0,340392.0,2766.0,340000.0,,299900.0
Single Family Residential,Concord,94519,739888,4.0,1.0,1766.0,3.0,3.0,2.0,419.0,740703.0,5231.0,739888.0,,550000.0
Townhouse,Concord,94520,459900,2.0,1.5,1088.0,2.0,3.0,2.0,423.0,460018.0,3693.0,,159900.0,
Townhouse,Concord,94520,450000,2.0,1.5,1089.0,2.0,2.0,2.0,413.0,450510.0,3547.0,,450000.0,
Single Family Residential,Concord,94521,798888,3.0,2.0,1284.0,6.0,5.0,7.0,622.0,826099.0,5649.0,798888.0,799000.0,
Single Family Residential,Concord,94518,799000,3.0,2.0,1148.0,4.0,2.0,3.0,696.0,801807.0,5720.0,799000.0,,239900.0
Single Family Residential,Concord,94520,819000,4.0,3.0,1390.0,2.0,3.0,2.0,589.0,831838.0,5791.0,819000.0,839888.0,
Townhouse,Concord,94520,330000,2.0,1.0,800.0,2.0,2.0,2.0,413.0,329718.0,2753.0,330000.0,,190000.0
Single Family Residential,Concord,94518,1299850,4.0,3.0,2236.0,3.0,2.0,3.0,581.0,1296619.0,9508.0,,1299850.0,
Single Family Residential,Concord,94518,1150000,3.0,2.0,1557.0,5.0,3.0,5.0,739.0,1153116.0,8131.0,1150000.0,,725000.0
Single Family Residential,Concord,94519,649500,3.0,2.0,1596.0,3.0,3.0,5.0,407.0,653111.0,4592.0,649500.0,,325000.0
Condo/Co-op,Concord,94520,306800,1.0,1.0,646.0,2.0,2.0,2.0,475.0,306328.0,2501.0,306800.0,,
Single Family Residential,Concord,94518,1399000,5.0,3.0,2765.0,3.0,2.0,3.0,506.0,1391661.0,10152.0,1399000.0,,926760.0
Single Family Residential,Concord,94521,990000,4.0,2.0,2412.0,6.0,5.0,7.0,410.0,1000110.0,7000.0,990000.0,1000000.0,
Single Family Residential,Pleasant Hill,94523,835000,4.0,3.0,1247.0,5.0,6.0,7.0,670.0,848841.0,5904.0,835000.0,865000.0,
Condo/Co-op,Concord,94520,375000,2.0,2.0,969.0,2.0,2.0,2.0,387.0,375031.0,3247.0,375000.0,,
Single Family Residential,Concord,94521,775000,3.0,2.0,1571.0,5.0,3.0,5.0,493.0,792873.0,5549.0,775000.0,795000.0,
Townhouse,Concord,94520,398000,2.0,1.5,1000.0,2.0,3.0,2.0,398.0,402802.0,3382.0,398000.0,428000.0,
Single Family Residential,Concord,94521,899000,4.0,2.0,1892.0,5.0,3.0,5.0,465.0,899588.0,6215.0,879000.0,899000.0,
Single Family Residential,Concord,94520,599000,3.0,1.0,1026.0,2.0,3.0,2.0,584.0,605264.0,4235.0,599000.0,,475000.0
Condo/Co-op,Concord,94520,299000,1.0,1.0,646.0,2.0,2.0,2.0,463.0,298996.0,2556.0,299000.0,,287999.0
Single Family Residential,Concord,94521,765000,4.0,2.0,1284.0,5.0,3.0,5.0,596.0,764552.0,5409.0,765000.0,,
Single Family Residential,Concord,94519,475000,2.0,1.0,776.0,3.0,3.0,5.0,612.0,476705.0,3359.0,,,
Mobile/Manufactured Home,Concord,94518,169000,2.0,1.0,740.0,4.0,2.0,3.0,228.0,162687.0,1195.0,169000.0,179000.0,
Single Family Residential,Concord,94521,875000,3.0,2.0,1503.0,5.0,3.0,5.0,582.0,899304.0,6265.0,875000.0,890000.0,
Single Family Residential,Concord,94521,945000,5.0,2.0,1960.0,5.0,3.0,5.0,482.0,950616.0,6766.0,,945000.0,
Single Family Residential,Concord,94519,848000,3.0,2.0,1893.0,3.0,3.0,2.0,448.0,872883.0,6071.0,848000.0,899000.0,
Townhouse,Concord,94521,645000,3.0,2.5,1476.0,3.0,3.0,5.0,437.0,,5011.0,645000.0,657000.0,
Single Family Residential,Concord,94519,648000,2.0,1.0,1013.0,3.0,3.0,2.0,640.0,647827.0,4582.0,,499000.0,
Single Family Residential,Concord,94520,688000,4.0,2.0,1290.0,4.0,6.0,2.0,533.0,701434.0,4865.0,688000.0,,679000.0
Single Family Residential,Concord,94521,1100000,4.0,3.0,2346.0,6.0,5.0,7.0,469.0,1090233.0,7778.0,1100000.0,,
