PROPERTY TYPE,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_PRICE
Single Family Residential,Los Altos,94022,4488000,4.0,2.5,2633.0,8.0,8.0,9.0,1705.0,,31733.0,4488000.0,,
Single Family Residential,Los Altos,94022,4498000,4.0,2.5,2700.0,9.0,8.0,9.0,1666.0,4479118.0,31804.0,4498000.0,,
Townhouse,Los Altos,94022,1995000,3.0,3.0,2024.0,9.0,8.0,9.0,986.0,1982355.0,14421.0,1995000.0,,950000.0
Single Family Residential,Los Altos,94022,11998000,6.0,8.5,6479.0,7.0,8.0,9.0,1852.0,11246714.0,84833.0,11998000.0,,4495000.0
Condo/Co-op,Los Altos,94022,1408800,3.0,2.0,1405.0,9.0,8.0,9.0,1003.0,1411259.0,10411.0,1408800.0,1200000.0,
Single Family Residential,Los Altos,94024,3498000,4.0,3.5,2864.0,9.0,10.0,8.0,1221.0,3411009.0,24733.0,3498000.0,,
Single Family Residential,Los Altos,94022,7240000,4.0,4.5,4460.0,8.0,8.0,9.0,1623.0,,51191.0,7240000.0,7735000.0,
Condo/Co-op,Los Altos,94022,1398000,2.0,2.0,1124.0,8.0,8.0,9.0,1244.0,1381946.0,10616.0,1398000.0,,1405000.0
Single Family Residential,Los Altos Hills,94024,3998000,3.0,2.0,2443.0,9.0,10.0,8.0,1637.0,3969937.0,28268.0,3998000.0,,
Single Family Residential,Los Altos,94024,3498000,4.0,3.5,2864.0,9.0,10.0,8.0,1221.0,3480788.0,24733.0,,,3498000.0
Single Family Residential,Los Altos,94024,8880000,6.0,6.0,5158.0,9.0,10.0,9.0,1722.0,8472281.0,62787.0,8880000.0,,
Single Family Residential,Palo Alto,94306,3295000,4.0,2.0,1947.0,8.0,8.0,9.0,1692.0,3377084.0,23298.0,3295000.0,,
Single Family Residential,Los Altos,94024,6488000,5.0,4.5,3907.0,9.0,10.0,9.0,1661.0,,45874.0,6488000.0,6738000.0,6988000.0
Single Family Residential,Fremont,94536,1299000,3.0,2.0,1450.0,5.0,6.0,7.0,896.0,1195554.0,9185.0,1299000.0,,
Single Family Residential,Newark,94560,960000,4.0,2.0,1383.0,5.0,4.0,5.0,694.0,999308.0,6788.0,,,
Single Family Residential,Newark,94560,985000,3.0,2.0,1458.0,,4.0,5.0,676.0,989003.0,6965.0,985000.0,,392000.0
Single Family Residential,Newark,94560,1279000,4.0,4.0,1667.0,3.0,4.0,5.0,767.0,1291537.0,9043.0,1279000.0,,
Single Family Residential,Newark,94560,1898000,3.0,2.5,2047.0,6.0,4.0,5.0,927.0,1920999.0,13481.0,1898000.0,640000.0,
Single Family Residential,Newark,94560,1198000,4.0,3.0,1781.0,,4.0,5.0,673.0,1212556.0,8471.0,1198000.0,,
Single Family Residential,Newark,94560,1075000,3.0,2.0,1126.0,6.0,4.0,5.0,955.0,1078973.0,7601.0,1075000.0,,
Single Family Residential,Newark,94560,1789000,5.0,2.5,2335.0,7.0,4.0,5.0,766.0,1790238.0,12649.0,1789000.0,385000.0,
Single Family Residential,Newark,94560,788888,2.0,1.0,1068.0,,4.0,5.0,739.0,831774.0,5578.0,788888.0,,615000.0
Townhouse,Newark,94560,1198888,4.0,3.0,1974.0,3.0,4.0,5.0,607.0,1219491.0,8962.0,1198888.0,,
Condo/Co-op,Newark,94560,570000,2.0,1.0,905.0,,4.0,5.0,630.0,568151.0,4570.0,570000.0,,179000.0
Townhouse,Newark,94560,1170000,3.0,3.0,1540.0,,4.0,5.0,760.0,1201293.0,8586.0,1170000.0,,
Multi-Family (5+ Unit),Newark,94560,3878000,,,7344.0,5.0,4.0,5.0,528.0,,27420.0,3878000.0,,
Townhouse,Newark,94560,1220000,3.0,3.5,1652.0,,4.0,5.0,738.0,1217745.0,8877.0,1220000.0,1180000.0,
Single Family Residential,Newark,94560,1700000,4.0,4.5,2817.0,3.0,4.0,5.0,603.0,1651225.0,12255.0,1700000.0,,
Single Family Residential,Newark,94560,869500,3.0,1.0,923.0,6.0,4.0,5.0,942.0,987621.0,6148.0,869500.0,,
Single Family Residential,Newark,94560,1038888,3.0,2.0,1190.0,6.0,4.0,5.0,873.0,1176778.0,7346.0,1038888.0,,1018000.0
Single Family Residential,Newark,94560,1499000,5.0,3.5,1960.0,6.0,4.0,5.0,765.0,1403239.0,10599.0,1499000.0,1550000.0,
Single Family Residential,Newark,94560,1590000,5.0,3.0,2417.0,6.0,4.0,5.0,658.0,,11242.0,1590000.0,1650000.0,
Single Family Residential,Newark,94560,1282000,4.0,2.0,1316.0,6.0,4.0,5.0,974.0,1097647.0,9065.0,1282000.0,1284000.0,
Single Family Residential,Newark,94560,1898000,5.0,3.5,2574.0,,4.0,5.0,737.0,1826852.0,13570.0,1898000.0,,
Single Family Residential,Newark,94560,2100000,4.0,3.0,2068.0,,4.0,5.0,1015.0,1928767.0,14991.0,2100000.0,1980000.0,
Single Family Residential,Newark,94560,1680000,4.0,3.0,2282.0,3.0,4.0,5.0,736.0,1626170.0,11879.0,1680000.0,,799000.0
Single Family Residential,Newark,94560,1389880,4.0,3.5,2453.0,3.0,4.0,5.0,567.0,1386032.0,9827.0,,,
Single Family Residential,Newark,94560,1345880,3.0,3.5,2201.0,3.0,4.0,5.0,611.0,1344246.0,9516.0,,,
Single Family Residential,Newark,94560,1325880,3.0,3.5,2152.0,3.0,4.0,5.0,616.0,1325519.0,9375.0,,,
Single Family Residential,Newark,94560,1389880,4.0,3.5,2453.0,3.0,4.0,5.0,567.0,1385009.0,9827.0,,,
Multi-Family (2-4 Unit),Newark,94560,1129880,4.0,3.0,2045.0,3.0,4.0,5.0,553.0,1101562.0,7989.0,,,
Single Family Residential,Newark,94560,1345880,3.0,3.5,2201.0,3.0,4.0,5.0,611.0,1326270.0,9516.0,,,
Single Family Residential,Newark,94560,1389880,4.0,3.5,2460.0,3.0,4.0,5.0,565.0,,9827.0,,,
Single Family Residential,Newark,94560,1473880,4.0,3.5,2698.0,3.0,4.0,5.0,546.0,,10421.0,,,
Single Family Residential,Newark,94560,1389880,4.0,3.5,2453.0,3.0,4.0,5.0,567.0,,9827.0,,,
Single Family Residential,Newark,94560,1345880,3.0,3.5,2201.0,3.0,4.0,5.0,611.0,,9516.0,,,
Single Family Residential,Newark,94560,1325880,3.0,3.5,2152.0,3.0,4.0,5.0,616.0,1323174.0,9375.0,,,
Mobile/Manufactured Home,Hayward,94544,362000,3.0,2.0,1529.0,4.0,4.0,5.0,237.0,362974.0,2560.0,362000.0,,
Single Family Residential,Hayward,94545,979888,4.0,2.5,1723.0,4.0,4.0,5.0,569.0,1012965.0,6928.0,979888.0,,699888.0
Single Family Residential,Hayward,94542,1299000,4.0,2.0,2465.0,6.0,2.0,,527.0,1284270.0,9185.0,1299000.0,1399000.0,
Single Family Residential,Hayward,94541,1500000,4.0,2.5,2587.0,5.0,2.0,,580.0,,10606.0,1500000.0,419000.0,
Single Family Residential,Hayward,94541,699999,2.0,1.5,1013.0,3.0,2.0,,691.0,702884.0,4949.0,699999.0,,
